Gene;P-I;P-II;P-III;A-I;A-II;A-III;S-I;S-II;S-III
Rps25;13413.54202;13749.80338;12041.93203;14020.71161;11568.31025;13242.9082;13584.41106;12230.8027;16452.82134
Ccdc84;298.7316769;219.4117561;333.2115807;237.2410576;271.8843836;237.4094283;345.1354715;287.7172222;259.3975647
Foxr1;0;4.00752066;2.573062399;7.829737875;10.57915889;6.64082317;0;1.88050472;0
Upk2;1.224310151;4.00752066;0;1.565947575;0;1.660205793;0;1.88050472;0.923123006
C030014I23Rik;2.448620303;3.005640495;12.865312;4.697842725;17.98457012;6.087421239;3.027504136;0.94025236;5.538738037
Gm47204;7.345860908;12.02256198;2.573062399;2.348921362;2.115831779;4.427215447;18.16502482;9.402523602;10.15435307
Bcl9l;544.8180173;583.094256;941.7408381;451.7758754;543.7687671;451.0225736;593.3908107;723.054065;571.4131408
Cxcr5;7.345860908;3.005640495;1.2865312;0.782973787;1.057915889;1.660205793;0;0.94025236;1.846246012
Gm47230;12.24310151;12.02256198;50.17471678;8.612711662;21.15831779;21.5826753;18.16502482;17.86479484;23.07807516
Gm47232;6.121550756;22.04136363;25.73062399;9.39568545;8.463327115;10.51463669;3.027504136;12.22328068;6.461861044
Ddx6;1643.024223;1463.746921;1603.017875;1677.129853;1444.055189;1444.932441;1695.402316;1577.74346;1099.4395
Phldb1;651.3330005;695.3048345;616.2484446;497.9713288;590.3170663;649.6938668;541.9232404;550.0476307;492.9476853
Arcn1;700.3054065;663.2446692;729.4631901;805.6800273;703.5140664;774.2093012;881.0037036;892.2994899;679.4185326
Ift46;370.9659758;346.6505371;437.4206078;422.0228715;402.008038;318.7595122;413.2543146;340.3713544;481.8702092
Tmem25;8.570171059;10.01880165;21.87103039;8.612711662;10.57915889;17.70886179;21.19252895;15.98429012;17.53933712
Ttc36;2.448620303;3.005640495;0;0;0;0;1.513752068;1.88050472;2.769369019
Kmt2a;890.07348;958.7993179;931.4485885;912.9474362;916.1551602;1044.269443;959.7188111;771.0069354;765.2689722
Gm39326;9.79448121;11.02068181;5.146124798;2.348921362;3.173747668;10.51463669;1.513752068;0;9.231230062
Atp5l;3478.26514;2860.367871;3287.087215;3494.412014;3721.748099;3243.488717;3734.426352;3546.631903;4308.21507
Ube4a;440.7516545;406.763347;501.7471678;500.3202502;560.6954214;505.2559629;457.1531245;487.0507226;383.0960476
Cd3e;0;0;2.573062399;2.348921362;0;0.553401931;0;8.462271242;0.923123006
Mpzl2;352.6013236;327.6148139;375.6671103;514.4137784;408.3555333;447.1487601;192.2465126;125.0535639;124.6216058
Mpzl3;41.62654514;31.05828511;29.59021759;26.62110877;32.79539257;33.20411585;33.3025455;15.98429012;26.77056718
Jaml;1.224310151;0;0;0;1.057915889;3.873813516;1.513752068;5.641514161;1.846246012
Scn2b;25.71051318;32.06016528;25.73062399;36.01679422;35.96914024;24.34968496;21.19252895;22.56605665;32.30930522
Scn4b;9.79448121;4.00752066;7.719187197;5.480816512;7.405411225;16.04865599;3.027504136;5.641514161;4.615615031
Tmprss4;8.570171059;9.016921485;10.2922496;0.782973787;0;2.767009654;3.027504136;5.641514161;6.461861044
Il10ra;3.672930454;3.005640495;3.859593599;3.914868937;4.231663557;5.534019308;3.027504136;4.701261801;0.923123006
Tmprss13;17.14034212;8.01504132;5.146124798;5.480816512;2.115831779;2.213607723;1.513752068;1.88050472;3.692492025
Fxyd6;494.6213011;551.0340907;576.3659774;543.3838085;587.1433186;519.0910111;629.7208603;619.6263054;744.037143
Fxyd2;29.38344363;11.02068181;20.58449919;16.44244954;11.63707478;13.83504827;7.56876034;22.56605665;12.92372209
Cep164;488.4997504;481.9043593;550.6353534;576.2687076;649.5603561;655.781288;557.060761;566.0319209;675.7260406
Bace1;221.6001374;234.4399586;244.4409279;198.0923682;210.525262;257.3318978;219.4940499;244.4656137;285.2450089
Gm16536;298.7316769;346.6505371;324.2058623;390.70392;296.216449;345.8762068;251.2828433;309.3430265;302.784346
Rnf214;221.6001374;265.4982437;261.1658335;306.9257247;256.0156452;321.5265218;249.7690912;231.3020806;276.9369019
Pcsk7;479.9295793;412.774628;551.9218846;451.7758754;426.3401034;438.8477312;343.6217194;478.5884514;499.4095464
Tagln;131.0011862;118.2218595;165.9625247;82.21224769;90.98076648;95.73853403;87.79761995;44.19186093;64.61861044
Gm48529;7.345860908;5.009400825;7.719187197;15.65947575;7.405411225;14.3884502;6.055008272;14.1037854;10.15435307
Sidt2;369.7416657;345.6486569;383.3862975;323.3681742;334.301421;302.1574542;349.6767277;297.1197458;255.7050727
Pafah1b2;2829.38076;2791.23814;2593.646898;3140.507862;2878.589135;2808.514799;2686.909921;2731.433106;2579.205679
